nazwa;ticker;ISIN
PGE;PGE;PLPGER000010
PGO;PGO;PLPGO0000014
PGSSOFT;PSW;PLSFTWR00015
PHARMENA;PHR;PLPHRMN00011
PHIWIERZY;PHI;PL71MDA00018
PHOTON;PEN;NL0010391108
PIK;PIK;PLPIK0000018
PKPCARGO;PKP;PLPKPCR00011
PLGROUP;PLG;PLRAJDY00015
PLANETINN;PIG;PLPLNTS00016
PLASMA;PSM;PLPLSMS00010
PLATIGE;PLI;PLPTGMG00013
PLATYNINW;PIW;PLADDRG00015
PLAY;PLY;LU1642887738
PLAYWAY;PLW;PLPLAYW00015
PLAZACNTR;PLZ;NL0011882741
PEMUG;PMG;PLPEMUG00016
PMPG;PGM;PLPEKPL00010
POINTPACK;PNT;PLPNTPK00014
PEP;PEP;PLPLSEP00013
POLIMEXMS;PXM;PLMSTSD00019
POLMAN;PLM;PLPOLMN00010
POLNORD;PND;PLPOLND00019
PGPPOLONI;PGP;PLPAR0000010
POLMT;PME;PLPOLMT00017
PBKM;BKM;PLPBKM000012
PHN;PHN;PLPHN0000014
PKNORLEN;PKN;PLPKN0000018
PGNIG;PGN;PLPGNIG00014
PTWP;PTW;PLPTWP000015
POLTRONIC;PTN;PLPLTRN00018
POLWAX;PWX;PLPOLWX00026
PKOBP;PKO;PLPKO0000016
PZU;PZU;PLPZU0000011
POZBUD;POZ;PLPZBDT00013
PEKABEX;PBX;PLPKBEX00072
PRAGMAFA;PRF;PLGFPRE00040
PRAGMAINK;PRI;PLPRGNK00017
PRAIRIE;PDZ;AU000000PDZ2
PREMIUMF;PMF;PLSMOKS00015
PRESENT24;P24;PLPRS2400012
PRESTO;PST;PLPRSTO00011
PRIMAMODA;PMA;PLPRMMD00012
KLEBAINV;KIN;PLWTTMN00075
PBGAMES;PBT;PLPRMBG00018
PCM;PCM;PLPRMCM00048
PRIME;PMT;PLCRTCP00010
PRIMETECH;PTH;PLKOPEX00018
PEMANAGER;PEM;PLPREQM00011
PROCAD;PRD;PLPRCAD00018
PROCHEM;PRM;PLPRCHM00014
PROJPRZEM;PJP;PLPROJP00018
PROLOG;PRL;PLPROLG00013
PROPERTYF;PLE;PLLSGEX00016
PROTEKTOR;PRT;PLLZPSK00019
PROCHNIK;PRC;PLPRCHK00018
PRYMUS;PRS;PLPRMUS00013
BALTONA;BAL;PLBALTN00014
HYDROTOR;HDR;PLHDRTR00013
REMAK;RMK;PLREMAK00016
WADEX;WAX;PLWADEX00018
KOMPAP;KMP;PLKOMPP00017
PREFABET;PBB;PLPRFBT00015
PEPEES;PPS;PLPEPES00018
EKOPARK;EPR;PLPRIPK00018
TELGAM;TLG;PLPTLTG00018
PLASTBOX;PLX;PLPSTBX00016
PURE;PUR;PLPRBLG00010
PYLON;PYL;PLPYLON00015
CORMAY;CRM;PLCMRAY00029
QUANTUM;QNT;PLQNTUM00018
QUART;QRT;PLQRTDV00016
QUBICGMS;QUB;PLQBCGM00018
QUERCUS;QRS;PLQRCUS00012
QUMAK;QMK;PLQMKSK00017
R22;R22;PLR220000018
RADPOL;RDL;PLRDPOL00010
RAFAKO;RFK;PLRAFAK00018
RAINBOW;RBW;PLRNBWT00031
RANKPROGR;RNK;PLRNKPR00014
RAWLPLUG;RWL;PLKLNR000017
READGENE;RDG;PLRADGN00014
REVITUM;REV;PLRVTUM00019
REDAN;RDN;PLREDAN00019
REDWOOD;RWD;PLCMPLX00014
REGNON;REG;PLPRNTC00017
REINHOLD;RHD;SE0001856519
RELPOL;RLP;PLRELPL00014
REMEDIS;REM;PLREMDS00021
REMORSOL;RSP;PLAGRTR00011
RESBUD;RES;EE3100142985
ROBINSON;RBS;PLRBSNE00015
ROCCA;RCA;PLROCCA00013
RONSON;RON;NL0006106007
ROTOPINO;ROT;PLMRKTC00010
